40 20
5 6 16
7 17 16
9 19 20
15 5 6
17 27 37
20 30 40
22 32 42
24 14 15
24 25 15
26 27 17
28 29 40
35 45 46
36 35 25
38 39 50
39 29 40
45 46 36
46 56 57
49 48 47
50 40 29
52 62 61
52 62 63
54 55 66
58 48 38
61 71 81
63 52 51
63 53 54
63 64 65
64 75 65
66 55 54
67 78 88
72 73 83
72 82 92
74 84 83
78 67 77
85 86 76
86 95 96
90 89 99
91 92 82
96 86 85
97 98 99
1 2 12
5 15 16
8 18 17
13 12 2
18 19 29
21 31 42
33 34 43
36 37 38
38 39 49
40 29 28
55 65 75
58 59 69
62 52 53
62 63 53
69 68 58
74 64 65
78 68 69
95 86 96
96 86 76
100 90 89
